SeniorCitizen,tenure_yeo_trim,MonthlyCharges_yeo_trim,TotalCharges_mode_yeo_trim
0,0.812271281,24.80885367,5.464052909
0,8.707660582,45.35235696,22.75989967
0,1.417775541,43.04612441,9.016246666
0,10.12737771,34.36391433,22.58364165
0,1.417775541,55.47907932,10.16644904
0,3.732277839,76.36450395,17.67424223
0,6.837452733,68.81234802,22.97188438
0,4.291737357,24.73108418,12.84331091
0,7.826575027,80.02965677,26.19458035
0,11.99037249,44.75808625,27.24715714
0,5.033832265,40.1310449,15.92108364
0,5.692092909,16.2059928,13.18288385
0,11.57992601,76.86347299,31.35178089
0,10.59613826,79.24792952,30.29040988
0,7.347857226,80.52680885,25.24919196
0,12.67528347,86.01534447,34.42204744
0,10.93422401,17.56672777,18.91576873
0,12.86393267,81.37851296,33.77442449
0,4.291737357,44.05159604,15.39519274
0,6.659184132,69.49495362,22.66415246
1,0.812271281,32.34926675,6.145531083
0,4.797235578,16.88738032,11.22855628
0,0.812271281,17.16735364,4.605457051
0,11.57992601,47.53859891,27.28595034
0,10.59613826,47.31663035,26.00286952
0,8.130622519,44.12600444,21.37217931
0,10.36446345,76.15058223,29.78484284
0,0.812271281,25.08090168,5.490997378
0,12.95716928,69.63859332,32.38981897
0,5.896996055,51.07946663,19.3029912
1,12.86393267,74.00875946,32.95158022
1,1.417775541,73.40103529,10.82305443
0,7.670188277,52.14531105,22.70585139
0,0.812271281,17.20732196,4.610576329
1,0.812271281,36.59603947,6.4810978
0,12.95716928,76.54273631,33.60424131
0,2.743799084,54.74774844,13.05025945
0,10.24661915,58.46983475,27.38304449
0,8.707660582,81.13017151,27.38516972
0,4.550327176,75.08026689,19.36896266
0,4.291737357,39.83115631,14.88837633
0,12.76997601,54.38179902,30.00447288
0,5.896996055,17.64652093,14.28519316
0,12.09071189,62.1373556,29.98520958
0,5.033832265,59.48832029,18.67727603
0,10.59613826,65.49951826,28.15633668
0,1.417775541,39.60612569,8.667018959
0,1.417775541,62.71678084,9.987388838
0,10.93422401,62.06489796,28.78572835
0,12.67528347,50.67473126,28.85688562
1,9.884510807,69.63859332,28.01391837
0,5.48039866,75.97227831,20.92404106
1,7.347857226,54.60139153,22.25607322
1,3.732277839,62.71678084,16.30251938
1,11.78701308,58.50623284,29.24525901
1,6.095686027,73.36527462,22.2556945
0,12.09071189,76.36450395,32.30531595
1,12.38662351,82.61933639,33.37202099
0,8.707660582,20.97502915,18.15084401
0,12.95716928,81.9459286,34.37089623
0,10.36446345,76.97036199,29.70890662
0,11.78701308,69.38720866,30.98337579
0,12.95716928,34.21218794,25.9816426
0,6.095686027,43.45597765,18.53381974
0,4.019769102,72.61398511,17.91539968
0,1.918881261,58.83373669,11.96602998
0,10.36446345,61.44874133,27.60895213
0,8.278574712,61.66626302,24.71487706
0,10.71005189,17.16735364,18.3763915
0,4.291737357,62.1373556,18.10724003
0,0.812271281,39.45605055,6.691877608
0,10.93422401,17.36712626,19.28978449
1,12.1901866,84.84916971,33.40225684
0,11.99037249,20.42320664,20.91608813
0,1.918881261,50.932319,10.73518485
1,11.36891302,84.0710243,32.05279651
0,10.24661915,44.3863576,25.25690004
0,3.732277839,43.64217575,14.95363627
1,8.130622519,58.43343489,23.52148849
0,10.12737771,21.72219206,19.941845
0,0.812271281,61.77500147,8.047911898
0,4.550327176,40.58055451,15.72925518
0,3.426487989,58.72458452,15.0972439
0,9.760782001,79.31902044,28.99939507
0,10.59613826,17.16735364,18.62985306
0,4.019769102,76.11492406,18.30226221
0,8.846132431,49.20083568,23.85862204
0,10.48095561,17.56672777,19.10611535
0,10.24661915,17.00741087,18.35328497
0,7.980002464,27.8280387,18.83784852
0,8.130622519,63.72977589,24.92487897
1,0.812271281,58.39703326,7.868051586
0,12.38662351,65.13865193,31.40386461
0,12.28881721,84.46016705,33.41291895
0,12.95716928,77.25534271,33.87349287
0,4.797235578,61.4849991,18.3548073
0,12.86393267,52.65925042,29.78403287
0,2.743799084,17.88573952,9.184568999
0,10.93422401,17.84588642,19.37857103
